Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,101,864000000,2014
総務費,2,総務管理費,201,13365865000,2014
総務費,2,徴税費,202,1539574000,2014
総務費,2,戸籍住民基本台帳費,203,866668000,2014
総務費,2,選挙費,204,130907000,2014
総務費,2,統計調査費,205,74977000,2014
総務費,2,監査費,206,136009000,2014
民生費,3,社会福祉費,301,17831247000,2014
民生費,3,児童福祉費,302,25035619000,2014
民生費,3,生活保護費,303,13232134000,2014
衛生費,4,保健衛生費,401,11181956000,2014
衛生費,4,健康スポーツ費,402,648681000,2014
衛生費,4,清掃費,403,6323844000,2014
衛生費,4,環境費,404,483519000,2014
労働費,5,労働諸費,501,139000000,2014
農林水産業費,6,農業費,601,240265000,2014
農林水産業費,6,水産業費,602,17735000,2014
商工費,7,商工費,701,1427000000,2014
土木費,8,土木管理費,801,1761852000,2014
土木費,8,道路橋りょう費,802,2457307000,2014
土木費,8,河川費,803,748660000,2014
土木費,8,都市計画費,804,6150181000,2014
消防費,9,消防費,901,5357000000,2014
教育費,10,教育総務費,1001,2308235000,2014
教育費,10,小学校費,1002,2134263000,2014
教育費,10,中学校費,1003,1255576000,2014
教育費,10,学校給食費,1004,2341916000,2014
教育費,10,幼稚園費,1005,504182000,2014
教育費,10,学校保健費,1006,235615000,2014
教育費,10,社会教育費,1007,3220213000,2014
公債費,11,公債費,1101,8949000000,2014
諸支出金,12,公営企業費,1201,36788000,2014
諸支出金,12,土地開発基金費,1202,212000,2014
予備費,13,予備費,1301,100000000,2014
